"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"11","NRC/Document Control Desk, NRC/NRR","Woolard S","OARC20020410jdb3, OARC20020429RLS1, oarc20021206mmn, oarc20021213dnw, oarc20021216dnw, oarc20021218dnw, oarc20021219dnw, OARC20070830MAB8, TIFF converted to PDF 12/15/2005","application/pdf","DPR-026, DPR-031, DPR-059, DPR-064, NPF-012, NPF-047, NPF-076, NPF-080, NPF-087, NPF-089","Engine Systems, Inc",NA,"Part 21 Correspondence","05000247, 05000250, 05000286, 05000333, 05000395, 05000445, 05000446, 05000458, 05000498, 05000499","false ","7","260,083","10CFR21 Reporting of Defects & Non-Compliance - Engine Systems Inc Report No. 10CFR21-0081,Rev 1 Refurbished Woodward EGB Governor/actuators","ML010790407","03/29/2001 09:58 AM EST",2001-03-13,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B1A7E49B7-81AE-48D7-93B9-91485DBB093B%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10CFR21 Reporting of Defects & Non-Compliance - Engine Systems Inc Report No. 10CFR21-0081,Rev 1 Refurbished Woodward EGB Governor/actuators",NA,"10CFR21-0081 Rev 1",NA,NA
"12","NRC/OCIO/IMD/RMB","Agee R T","oarc20021023mmn, TIFF converted to PDF 12/23/2005","application/pdf",NA,"Westronics, Inc",NA,"Part 21 Correspondence","05000417","false ","2","80,100","1OCFR Part 21 Notification, Westronics Model 12OOBC Recorders","ML993300311","12/01/1999 07:02 PM EST",1999-11-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB11BF954-4B8E-46D3-888D-764F8F021E43%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=1OCFR Part 21 Notification, Westronics Model 12OOBC Recorders",NA,NA,NA,NA
"13","NRC/Document Control Desk, NRC/NMSS","Gonnam R W, Ruiz M","mmn, oarc20070905wjd1, smo, TIFF converted to PDF 11/15/2005","application/pdf",NA,"ABB Automation, Inc",NA,"Part 21 Correspondence",NA,"false ","2","90,696","ABB Automation, Inc., Report of Potential Defect per 10 CFR Part 21 Type CVE / CVE-1 Relay.","ML020230036","01/31/2002 09:35 AM EST",2001-11-05,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B24833AB5-F2A9-4726-B95E-18B0BD52D4B4%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=ABB Automation, Inc., Report of Potential Defect per 10 CFR Part 21 Type CVE / CVE-1 Relay.",NA,NA,NA,NA
"14","NRC/Document Control Desk, NRC/NRR","Batovsky D","DPCautoadd, gps1, jrr3, OARC20161128wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"ABB Group",NA,"Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","5","165,511","ABB Providing 2nd Update to Part 21 Notification re Potential Defect of KF Relay Zero Period Acceleration (ZPA) Rating.","ML16328A313","11/28/2016 04:44 PM EST",2016-11-17,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BFE2498D5-4D2A-4361-BD6E-24B0154AA334%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=ABB Providing 2nd Update to Part 21 Notification re Potential Defect of KF Relay Zero Period Acceleration (ZPA) Rating.",NA,NA,NA,NA
"15","NRC/Document Control Desk, NRC/NRR","Jacobsen J D, Weaver P","does Not Include SSN-jdb, lcc2, oarc20050803mab8=corrected author name, OARC20060323RFPFR=Unfiled from //November 2004/November 11-12, 2004, OARC20070927MAB8, OARC20081203SALMAP by Admincvl1, OARC20090303TJC1 PII Review Complete, tjb2","application/pdf",NA,"Battelle Columbus Labs","-RFPFR","Licensee 30-Day Written Event Report, Part 21 Correspondence, Written Event Report (30 or 60 day)",NA,"false ","9","259,915","Battelle Columbus Laboratories USNRC Event Report.","ML043070343","04/15/2006 10:46 AM EDT",2004-10-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BAB2C1C27-6A38-4090-AC82-56E03394581F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Battelle Columbus Laboratories USNRC Event Report.",NA,NA,NA,NA
"16","NRC/Document Control Desk, NRC/NRR","Bologna R D","AOA1, DPCautoadd, JEF1, OARC20171003wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf","DPR-066, NPF-073","FirstEnergy Nuclear Operating Co","L-17-280","Part 21 Correspondence","05000334, 05000412","false ","4","138,878","Beaver Valley Power Station, Unit Nos. 1 and 2 - Commitments for Resolution of Anchor Darling Double Disc Gate Valve Part 21 Issues.","ML17243A134","10/03/2017 01:16 PM EDT",2017-08-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B2CB6938C-CDA3-463A-81EE-BC678A7E0A57%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Beaver Valley Power Station, Unit Nos. 1 and 2 - Commitments for Resolution of Anchor Darling Double Disc Gate Valve Part 21 Issues.",NA,NA,NA,NA
"17","Tennessee Valley Authority",NA,"ALA, nxp, OARC20090121SALMAP by adminnxp, SUNSI Review Complete, SUNSI Review Complete by Edwin Lea, utsPARS","application/pdf",NA,"NRC/RGN-II",NA,"License-Operator, Part 55 Examination Related Material, Part 21 Correspondence","05000259, 05000260, 05000296","false ","75","309,687","Browns Ferry December 2008 OL Exam (SRO Exam with Answers).","ML090210376","01/23/2009 09:07 AM EST",2008-12-30,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B40801B05-C789-454F-9191-7C939EA31F3D%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Browns Ferry December 2008 OL Exam (SRO Exam with Answers).",NA,NA,NA,NA
"18","NRC/Document Control Desk, NRC/NRR","Affolter R D","dnw, nxp, OARC20031201LME=Changed Rids code from A001 to IE19 per J McKnight, OARC20070912MAB8","application/pdf","NPF-030","AmerenUE","ULNRC-04921","Part 21 Correspondence","05000483","false ","3","124,870","Callaway Plant - 10CFR21 Notification for GE Nuclear AKE-30 Low Voltage Circuit Breaker Upper Stud Assemblies, Part Number Q139C4632G1.","ML033320399","12/09/2003 10:16 AM EST",2003-11-20,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B3CCE6037-ACDD-4C0A-926A-A577DF4BF3FA%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Callaway Plant - 10CFR21 Notification for GE Nuclear AKE-30 Low Voltage Circuit Breaker Upper Stud Assemblies, Part Number Q139C4632G1.",NA,NA,NA,NA
"19","NRC/Document Control Desk, NRC/NRR","Affolter R D","dnw, OARC20070912MAB8, tjb2","application/pdf","NPF-030","AmerenUE","ULNRC-04921","Part 21 Correspondence","05000483","false ","5","205,731","Callaway Plant - 10CFR21 Notification for GE Nuclear AKR-30 Low Voltage Circuit Breaker Upper Stud Assemblies, Part Number O139C4632G1.","ML033280523","12/03/2003 10:00 AM EST",2003-11-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B70B6FB7D-DF18-431E-A7BD-60152E1C6DEE%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Callaway Plant - 10CFR21 Notification for GE Nuclear AKR-30 Low Voltage Circuit Breaker Upper Stud Assemblies, Part Number O139C4632G1.",NA,NA,NA,NA
"20","Cardiology Physicians, PC, Bridgeport, CT","Weidner T L","SUNSI Review Complete, rls1, utsPARS, NMSS/RGN Materials-001, oarc20120620wjd1","application/pdf","06-30769-01","NRC/RGN-I/DNMS/MB","575991","License-Materials Byproduct Amendment DKT 30, Part 21 Correspondence","03036113","false ","1","88,954","Cardiology Physicians, PC, License Termination Amendment 3, Control No. 575991.","ML112590255","09/26/2011 09:23 AM EDT",2011-09-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF09A671A-A585-4ADD-8548-643D06A5CB85%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Cardiology Physicians, PC, License Termination Amendment 3, Control No. 575991.",NA,NA,NA,NA
"21","NRC/Document Control Desk, NRC/NMSS","Del Vecchio D","EIEAutoPop, kxb, OARC20150428mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"CB&I AREVA MOX Services, LLC","DCS-NRC-000391","Letter, Part 21 Correspondence","07003098","false ","5","125,335","CB&I AREV A MOX Services, Part 21 60-Day Interim Report Notification: SMCI Embed Plates.","ML15112A131","04/28/2015 09:00 AM EDT",2015-04-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6D5AADDA-6051-43D1-A481-24140DE417D8%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=CB&I AREV A MOX Services, Part 21 60-Day Interim Report Notification: SMCI Embed Plates.",NA,NA,NA,NA
"22","NRC/Document Control Desk, NRC/NMSS","Del Vecchio D","AOA1, dnd, EIEAutoPop, OARC20171019wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"CB&I AREVA MOX Services, LLC","DCS-NRC-000468","Letter, Part 21 Correspondence","07003098","false ","2","637,814","CB&I AREVA MOX Services, LLC - Closure of Interim Report Notification: Flanders.","ML17291A042","10/19/2017 11:05 AM EDT",2017-10-17,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B87B55066-9B7B-45A5-9277-780920F6FEFA%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=CB&I AREVA MOX Services, LLC - Closure of Interim Report Notification: Flanders.",NA,NA,NA,NA
"23",NA,"Eng P L","JRR3, lcc2, OARC20030304LME, OARC20070315MAB8, Retrofit, TIFF converted to PDF 12/20/2005","application/pdf","DPR-046","NRC/NMSS",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000298","false ","1","32,638","Cooper SBM Switches.","ML020870065","01/08/2003 09:12 AM EST",1994-07-26,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B29E990C1-FBD3-4061-8F7A-E9DC3DAC5456%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Cooper SBM Switches.",NA,NA,NA,NA
